# Wordlist

# DATA
ID	CONCEPT	COUNTERPART	DOCULECT	COGID	TOKENS	IPA
929	*beuganan	bow	English	255	b əʊ	bəʊ
930	*beuganan	buigen	Dutch	255	b œy ɣ ə	bœyɣə
#
1450	*bidjanan	*bidjanan	Proto-Germanic	397	b i d j a n	bidjanan
1451	*bidjanan	bitten	German	397	b ɪ t ə n	bɪtən
1452	*bidjanan	bid	English	397	b ɪ d	bɪd
1453	*bidjanan	bidden	Dutch	397	b ɪ d ə	bɪdə
#
108	*bladan	*bladan	Proto-Germanic	31	b l a d	bladan
109	*bladan	Blatt	German	31	b l a t	blat
110	*bladan	blad	Dutch	31	b l ɑ t	blɑt
#
931	*blikan	*blikan	Proto-Germanic	256	b l i k	blikan
932	*blikan	Blech	German	256	b l ɛ x	blɛx
933	*blikan	blik	Dutch	256	b l ɪ k	blɪk
#
853	*blōdan	*blōdan	Proto-Germanic	235	b l oː d	bloːdan
854	*blōdan	Blut	German	235	b l uː t	bluːt
855	*blōdan	blood	English	235	b l ʌ d	blʌd
856	*blōdan	bloed	Dutch	235	b l uː t	bluːt
#
795	*brandaz	*brandaz	Proto-Germanic	218	b r a n d	brandaz
796	*brandaz	Brand	German	218	b r a n t	brant
797	*brandaz	brand	English	218	b r æ n d	brænd
798	*brandaz	brand	Dutch	218	b r ɑ n t	brɑnt
#
1155	*braudan	*braudan	Proto-Germanic	317	b r au d	braudan
1156	*braudan	Brot	German	317	b r oː t	broːt
1157	*braudan	bread	English	317	b r ɛ d	brɛd
1158	*braudan	brood	Dutch	317	b r oː t	broːt
#
500	*brekanan	*brekanan	Proto-Germanic	137	b r e k a n	brekanan
501	*brekanan	brechen	German	137	b r ɛ x ə n	brɛxən
502	*brekanan	break	English	137	b r eɪ k	breɪk
503	*brekanan	breken	Dutch	137	b r eː k ə	breːkə
1513	*brekanan	*brekanan	Proto-Germanic	415	b r e k a n	brekanan
1514	*brekanan	Bruch	German	415	b r ʊ x	brʊx
1515	*brekanan	breeches	English	415	b r ɪ ʧ ɪ z	brɪʧɪz
1516	*brekanan	broek	Dutch	415	b r uː k	bruːk
#
1649	*brenganan	*brenganan	Proto-Germanic	453	b r e n g a n	brenganan
1650	*brenganan	bringen	German	453	b r ɪ ŋ ə n	brɪŋən
1651	*brenganan	bring	English	453	b r ɪ ŋ	brɪŋ
1652	*brenganan	brengen	Dutch	453	b r ɛ ŋ ə	brɛŋə
#
1751	*brestanan	*brestanan	Proto-Germanic	480	b r e s t a n	brestanan
1752	*brestanan	bersten	German	480	b ɛ r s t ə n	bɛrstən
1753	*brestanan	burst	English	480	b ɜː s t	bɜːst
1754	*brestanan	barsten	Dutch	480	b ɑ r s t ə	bɑrstə
#
154	*brunnōn	*brunnōn	Proto-Germanic	44	b r u nn oː n	brunnoːn
155	*brunnōn	Brunnen	German	44	b r ʊ n ə n	brʊnən
156	*brunnōn	bron	Dutch	44	b r ɔ n	brɔn
#
1770	*brustz	*brustz	Proto-Germanic	485	b r u s t z	brustz
1771	*brustz	Brust	German	485	b r ʊ s t	brʊst
1772	*brustz	breast	English	485	b r ɛ s t	brɛst
1773	*brustz	borst	Dutch	485	b ɔ r s t	bɔrst
#
293	*brūdiz	*brūdiz	Proto-Germanic	82	b r uː d	bruːdiz
294	*brūdiz	Braut	German	82	b r au t	braut
295	*brūdiz	bride	English	82	b r aɪ d	braɪd
296	*brūdiz	bruid	Dutch	82	b r œy t	brœyt
#
1133	*brūkanan	*brūkanan	Proto-Germanic	311	b r uː k a n	bruːkanan
1134	*brūkanan	brauchen	German	311	b r au x ə n	brauxən
1135	*brūkanan	brook	English	311	b r ʊ k	brʊk
1136	*brūkanan	gebruiken	Dutch	311	x ə b r œy k ə	xəbrœykə
#
815	*budmaz	*budmaz	Proto-Germanic	224	b u d m	budmaz
816	*budmaz	Boden	German	224	b oː d ə n	boːdən
817	*budmaz	bottom	English	224	b ɔ t ə m	bɔtəm
818	*budmaz	bodem	Dutch	224	b oː d ə m	boːdəm
#
1417	*bugōn	*bugōn	Proto-Germanic	388	b u g oː n	bugoːn
1418	*bugōn	Bogen	German	388	b oː ɡ ə n	boːɡən
1419	*bugōn	bow	English	388	b əʊ	bəʊ
1420	*bugōn	boog	Dutch	388	b oː x	boːx
#
31	*bukkaz	*bukkaz	Proto-Germanic	9	b u kk	bukkaz
32	*bukkaz	Bock	German	9	b ɔ k	bɔk
33	*bukkaz	buck	English	9	b ʌ k	bʌk
