# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	TOKENS	ALIGNMENT	COGID
11	WAN	feminine	ko	k o	k o	1
12	*PT	feminine	*-kʔo	kʔ o	kʔ o	1
#
865	BAS	fire	hea	h e a	h e - a	79
866	DES	fire	pea	p e a	p e - a	79
867	KAR	fire	pee	p e e	p e - !e	79
868	KOR	fire	hẽkha	h ẽ kh a	h ẽ kh a	79
869	KUB	fire	peka	p e k a	p e k a	79
870	KUE	fire	hekia	h e ki a	!h e ki a	79
871	MAI	fire	heka	h e k a	h e k a	79
872	SEK	fire	heka	h e k a	h e k a	79
873	SIO	fire	hẽka	h ẽ k a	h ẽ k a	79
874	TAN	fire	peka	p e k a	p e k a	79
875	TUK	fire	peka	p e k a	p e k a	79
876	TUY	fire	peka	p e k a	p e k !a	79
877	WAN	fire	phit∫a	ph i t∫ a	!ph i t∫ a	79
878	*PT	fire	*peka	p e k a	p e k a	79
#
1436	BAS	fish	wai	w a i	w a - i	132
1437	DES	fish	waʔi	w a ʔ i	w a ʔ i	132
1438	KOR	fish	βaʔi	β a ʔ i	!β a ʔ i	132
1439	KUB	fish	wáwi	w á w i	w á w i	132
1440	KUE	fish	uai	u a i	u a - i	132
1441	MAI	fish	bai	b a i	b a - i	132
1442	SEK	fish	waʔi	w a ʔ i	w a ʔ i	132
1443	SIO	fish	waʔi	w a ʔ i	w a ʔ i	132
1444	TAN	fish	waʔi	w a ʔ i	w a ʔ i	132
1445	TUK	fish	waʔi	w a ʔ i	w a ʔ i	132
1446	TUY	fish	wai	w a i	w a - i	132
1447	WAN	fish	waʔi	w a ʔ i	w a ʔ i	132
1448	*PT	fish	*waʔi	w a ʔ i	w a ʔ i	132
#
1392	BAS	fish with a net	waja	w a j a	w a !j a	128
1393	DES	fish with a net	waja	w a j a	w a j a	128
1394	KOR	fish with a net	wajo	w a j o	w a j !o	128
1395	MAI	fish with a net	bejo	b e j o	b !e j !o	128
1396	TUK	fish with a net	waʔsa	w a ʔs a	w a !ʔs a	128
1397	WAN	fish with a net	waʔsa	w a ʔs a	w a !ʔs a	128
1398	*PT	fish with a net	*waja	w a j a	w a j a	128
#
706	BAS	fishing net	bahi	b a h i	b a h !i	63
707	KAR	fishing net	bapi	b a p i	b a p !i	63
708	KUB	fishing net	pápi	p á p i	!p á p i	63
709	TUY	fishing net	bapi	b a p i	b a p i	63
710	*PT	fishing net	*pʔapi	pʔ a p i	pʔ a p i	63
#
858	BAS	float	haja	h a j a	h a j a	78
859	DES	float	pája	p á j a	p á j a	78
860	KAR	float	pasa	p a s a	p a s a	78
861	TUK	float	paʔsa	p a ʔs a	p a ʔs a	78
862	TUY	float	pasa	p a s a	p a s a	78
863	WAN	float	paʔsa	p a ʔs a	!p a ʔs a	78
864	*PT	float	*paʔja	p a ʔj a	p a ʔj a	78
#
370	BAS	flower	godo	g o d o	g o - *-* d !o	33
371	DES	flower	go	g o	g o - *-*	33
372	KOR	flower	koro	k o r o	k o - *-* !r o	33
373	KUB	flower	kowɨ	k o w ɨ	k o w ɨ	33
374	KUE	flower	teko	t e k o	!t e k o - *-*	33
375	SEK	flower	hodo	h o d o	!h o - *-* d o	33
376	SIO	flower	kodo	k o d o	!k o - *-* !d !o	33
377	TAN	flower	~oʔo	õ ʔ õ	õ ʔ õ	33
378	TUK	flower	oʔo	o ʔ o	o ʔ o	33
379	TUY	flower	koo	k o o	k o - o	33
380	WAN	flower	koʔo	k o ʔ o	k o ʔ o	33
381	*PT	flower	*kʔoʔo	kʔ o ʔ o	- - kʔ o ʔ o ( - - )	33
#
278	BAS	foot	gɨbo	g ɨ b o	g ɨ b o	26
279	DES	foot	guʔbu	g u ʔb u	g u ʔb u	26
280	KAR	foot	rɨpo	r ɨ p o	!r ɨ p o	26
281	KOR	foot	~kuʔa	k ũ ʔ ã	k ũ ʔ ã	26
282	KUB	foot	kɨbo	k ɨ b o	k ɨ b o	26
283	KUE	foot	kohu	k o h u	!k o h u	26
284	MAI	foot	~gɨo	ŋ ɨ̃ õ	!ŋ ɨ̃ - õ	26
285	SEK	foot	~kɨo	k ɨ̃ õ	!k ɨ̃ - õ	26
286	SIO	foot	~kʔɨo	kʔ ɨ̃ õ	kʔ ɨ̃ - õ	26
287	TAN	foot	~uʔpu	ũ ʔp ũ	ũ ʔp ũ	26
288	TUK	foot	dɨʔpo	d ɨ ʔp o	!d ɨ ʔp o	26
289	TUY	foot	dɨpo	d ɨ p o	!d ɨ p o	26
290	WAN	foot	daʔpo	d a ʔp o	!d a ʔp o	26
291	*PT	foot	*kʔɨpʔo	kʔ ɨ p ʔ o	kʔ ɨ pʔ o	26
#
1339	BAS	fruit sp.	toa	t o a	t o a	123
1340	KOR	fruit sp.	thoa	th o a	th o a	123
1341	KUB	fruit sp.	toa	t o a	t o a	123
1342	MAI	fruit sp.	toa	t o a	t o a	123
1343	SEK	fruit sp.	toa	t o a	t o a	123
1344	SIO	fruit sp.	toa	t o a	t o a	123
1345	TUK	fruit sp.	toa	t o a	t o a	123
1346	WAN	fruit sp.	thoa	th o a	th o a	123
1347	*PT	fruit sp.	*toa	t o a	t o a	123
#
1473	BAS	garden	wece	w e c e	w e c e	135
1474	DES	garden	wese	w e s e	w e s e	135
1475	KOR	garden	weʔse	w e ʔs e	w e ʔs e	135
1476	MAI	garden	bese	b e s e	b e s e	135
1477	SEK	garden	βeʔse	β e ʔs e	!β e ʔs e	135
1478	TUK	garden	wese	w e s e	w e s e	135
1479	TUY	garden	wese	w e s e	w e s e	135
1480	WAN	garden	wese	w e s e	w e s e	135
1481	*PT	garden	*wese	w e s e	w e s e	135
#
1068	BAS	gather	cãa	c ã a	c ã a	100
1069	KAR	gather	hee	h e e	h e e	100
1070	KOR	gather	sia	s i a	s i a	100
1071	KUB	gather	hewa	h e w a	h !e w a	100
1072	MAI	gather	t∫ia	t∫ i a	!t∫ i a	100
1073	SEK	gather	sia	s i a	s i a	100
1074	SIO	gather	t∫ia	t∫ i a	t∫ i a	100
1075	TUK	gather	sua	s u a	s u a	100
1076	WAN	gather	saa	s a a	s a a	100
1077	*PT	gather	*t∫ɨ-a	t ∫ ɨ a	t∫ ɨ - a	100
#
201	BAS	grand-father	~jikɨ	ɲ ĩ k ɨ̃	ɲ ĩ k ɨ̃	19
202	DES	grand-father	~jekɨ	ɲ ẽ k ɨ̃	ɲ ẽ k ɨ̃	19
203	KAR	grand-father	~jikɨ	ɲ ĩ k ɨ̃	ɲ ĩ k ɨ̃	19
204	KOR	grand-father	jẽkuɨ	j ẽ k u ɨ	j ẽ k u ɨ	19
205	KUB	grand-father	~jekũjo	ɲ ẽ k ũ j õ	ɲ ẽ k ũ j !o	19
206	MAI	grand-father	jẽkɨ	j ẽ k ɨ	j ẽ k ɨ	19
207	TUK	grand-father	~jekɨ	ɲ ẽ k ɨ̃	ɲ ẽ k ɨ̃	19
208	TUY	grand-father	~jekɨ	ɲ ẽ k ɨ̃	ɲ ẽ k ɨ̃	19
209	WAN	grand-father	~jɨt∫ɨ	ɲ ɨ̃ t∫ ɨ̃	ɲ ɨ̃ t∫ ɨ̃	19
210	*PT	grand-father	*jẽkku-	j ẽ kk u	j ẽ kk u ( - - )	19
#
124	BAS	grape	ɨje	ɨ j e	ɨ j e	12
125	DES	grape	igi	i g i	i g i	12
126	KAR	grape	ɨse	ɨ s e	ɨ s e	12
127	KOR	grape	ɨje	ɨ j e	ɨ j e	12
128	KUB	grape	ɨ́jai	ɨ́ j a i	ɨ́ j a i	12
129	MAI	grape	ede	e d e	e d e	12
130	SIO	grape	ɨje	ɨ j e	ɨ j e	12
131	TUK	grape	ɨʔse	ɨ ʔs e	ɨ ʔs e	12
132	TUY	grape	ɨse	ɨ s e	ɨ s e	12
133	WAN	grape	se	s e	s e	12
134	*PT	grape	*ɨʔje	ɨ ʔj e	ɨ ʔj e -	12
#
1093	BAS	grass	taa	t a a	!t a !- a	102
1094	DES	grass	taa	t a a	!t a !- a	102
1095	KAR	grass	taa	t a a	!t a !- a	102
1096	KOR	grass	thaja	th a j a	!th a j !a	102
1097	KUB	grass	dá	d á	!d á !- !-	102
1098	KUE	grass	taja	t a j a	t a j a	102
1099	MAI	grass	taja	t a j a	t a j !a	102
1100	SEK	grass	taja	t a j a	t a j a	102
1101	SIO	grass	taja	t a j a	t a j a	102
1102	TAN	grass	taja	t a j a	t a j a	102
1103	TUK	grass	taa	t a a	!t a !- a	102
1104	TUY	grass	taa	t a a	!t a !- a	102
1105	WAN	grass	thaa	th a a	!th a !- a	102
1106	*PT	grass	*taja	t a j a	t a j a	102
#
1293	BAS	green	~cɨbe	c ɨ̃ m ẽ	c ɨ̃ m ẽ	119
1294	KAR	green	~hɨbe	h ɨ̃ m ẽ	h ɨ̃ m ẽ	119
1295	KUB	green	~hɨbe	h ɨ̃ m ẽ	h ɨ̃ m ẽ	119
1296	KUE	green	tɨmɨ	t ɨ m ɨ	t ɨ m ɨ	119
1297	SIO	green	sɨho	s ɨ h o	s ɨ h o	119
1298	TAN	green	~hiʔbi	h ĩ ʔb ĩ	h ĩ ʔb ĩ	119
1299	TUK	green	sɨʔme	s ɨ ʔm e	s ɨ ʔm e	119
1300	TUY	green	~sɨbere	s ɨ̃ m ẽ r̃ ẽ	s ɨ̃ m ẽ r̃ !ẽ	119
1301	YUP	green	tsɨmɨ	ts ɨ m ɨ	ts ɨ m ɨ	119
1302	*PT	green	*tjɨ̃pʔe	tj ɨ̃ pʔ e	tj ɨ̃ pʔ e ( - - )	119
#
905	KOR	handpalm	hɨ̃thɨ	h ɨ̃ th ɨ	h ɨ̃ th ɨ	83
906	KUB	handpalm	pɨdɨ	p ɨ d ɨ	p ɨ d ɨ	83
907	MAI	handpalm	hɨ̃tɨ	h ɨ̃ t ɨ	h ɨ̃ t ɨ	83
908	SEK	handpalm	hɨ̃tɨ	h ɨ̃ t ɨ	h ɨ̃ t ɨ	83
909	SIO	handpalm	ɨ̃tɨ	ɨ̃ t ɨ	ɨ̃ t ɨ	83
910	TAN	handpalm	pita	p i t a	p i t a	83
911	*PT	handpalm	*pɨtɨ	p ɨ t ɨ	p ɨ t ɨ	83
#
1221	BAS	head	riho	r i h o	r i h o	113
1222	DES	head	dipu	d i p u	d i p u	113
1223	KAR	head	rɨpo	r ɨ p o	r ɨ p !o	113
1224	KOR	head	~siho	s ĩ h õ	s ĩ h !õ	113
1225	KUB	head	hipo	h i p o	h i p o	113
1226	MAI	head	t∫io	t∫ i o	t∫ i - o	113
1227	SEK	head	~sio	s ĩ õ	s ĩ - !õ	113
1228	SIO	head	~sʔiho	sʔ ĩ h õ	sʔ ĩ h !õ	113
1229	TAN	head	rupu	r u p u	r u p !u	113
1230	TUK	head	dɨpo	d ɨ p o	!d ɨ p !o	113
1231	TUY	head	dupu	d u p u	d u p !u	113
1232	WAN	head	dapu	d a p u	d a p !u	113
1233	YUP	head	dɨpɨ	d ɨ p ɨ	d ɨ p ɨ	113
1234	*PT	head	*tjʔɨpo	t jʔ ɨ p o	tjʔ ɨ p o	113
#
1007	BAS	heavy	~rɨkɨ	r̃ ɨ̃ k ɨ̃	!r̃ ɨ̃ k !ɨ̃	94
1008	DES	heavy	~nɨkɨ	n ɨ̃ k ɨ̃	n ɨ̃ k !ɨ̃	94
1009	KAR	heavy	~dɨkɨ	n ɨ̃ k ɨ̃	n ɨ̃ k ɨ̃	94
1010	KOR	heavy	rɨkhɨ	r ɨ kh ɨ	r ɨ kh ɨ	94
1011	KUB	heavy	dɨkɨ	d ɨ k ɨ	d ɨ k ɨ	94
1012	MAI	heavy	dɨkɨ	d ɨ k ɨ	d ɨ k ɨ	94
1013	SEK	heavy	dɨkɨ	d ɨ k ɨ	d ɨ k ɨ	94
1014	SIO	heavy	dɨkɨ	d ɨ k ɨ	!d ɨ k ɨ	94
1015	TAN	heavy	~riki	r̃ ĩ k ĩ	r̃ ĩ k ĩ	94
1016	TUK	heavy	~dɨkɨ	n ɨ̃ k ɨ̃	!n ɨ̃ k !ɨ̃	94
1017	TUY	heavy	~dɨkɨ	n ɨ̃ k ɨ̃	n ɨ̃ k !ɨ̃	94
1018	WAN	heavy	~dɨkɨ	n ɨ̃ k ɨ̃	!n ɨ̃ k !ɨ̃	94
1019	*PT	heavy	*tʔɨkkɨ	tʔ ɨ k k ɨ	tʔ ɨ kk ɨ	94
#
135	BAS	heron	jehe	j e h e	!j e !h !e	13
136	DES	heron	jahi	j a h i	j a h i	13
137	KAR	heron	jee	j e e	!j e - !e	13
138	KUB	heron	jai	j a i	j a - i	13
139	MAI	heron	jai	j a i	j a - i	13
140	SEK	heron	jai	j a i	j a - i	13
141	TUK	heron	jahe	j a h e	!j a h !e	13
142	TUY	heron	yee	j e e	j e - !e	13
143	WAN	heron	jaha	j a h a	!j a h a	13
144	*PT	heron	*jahi	j a h i	j a h i	13
#
332	BAS	hole	gohe	g o h e	g o h e	30
333	DES	hole	gobe	g o b e	g o !b e	30
334	KAR	hole	ope	o p e	o p !e	30
335	KOR	hole	kohe	k o h e	k o h e	30
336	KUB	hole	kobe	k o b e	k o !b e	30
337	KUE	hole	gohe	g o h e	!g o h e	30
338	MAI	hole	gohe	g o h e	!g o !h e	30
339	SEK	hole	kohe	k o h e	!k o !h e	30
340	SIO	hole	kʔohe	kʔ o h e	!kʔ o h e	30
341	TAN	hole	kope	k o p e	!k o p e	30
342	TUK	hole	kope	k o p e	!k o p e	30
343	TUY	hole	kope	k o p e	k o !p !e	30
344	WAN	hole	kope	k o p e	k o !p !e	30
345	*PT	hole	*kʔope	kʔ o p e	kʔ o p e	30
#
65	BAS	hot	aci	a c i	a c i	7
66	DES	hot	asi	a s i	a s i	7
67	KAR	hot	asi	a s i	a s i	7
68	KOR	hot	asu	a s u	a s u	7
69	KUE	hot	hatɨ	h a t ɨ	h a t ɨ	7
70	MAI	hot	at∫u	a t∫ u	a t∫ u	7
71	SIO	hot	haʔsu	h a ʔs u	h a ʔs u	7
72	TUK	hot	asi	a s i	a s i	7
73	TUY	hot	asi	a s i	a s i	7
74	WAN	hot	si	s i	s i	7
75	YUP	hot	ahtsiama	a h ts i a m a	a h ts i a m a	7
76	*PT	hot	*atjɨ	a tj ɨ	- a - tj ɨ - - -	7
#
1495	BAS	house	wi	w i	w i - *-*	138
1496	DES	house	wiʔi	w i ʔ i	w i ʔ i	138
1497	KAR	house	wii	w i i	w i - i	138
1498	KOR	house	βɨʔe	β ɨ ʔ e	β ɨ ʔ e	138
1499	KUB	house	wɨe	w ɨ e	w ɨ - !e	138
1500	KUE	house	wɨri	w ɨ r i	w ɨ - *-* r !i	138
1501	MAI	house	ue	u e	u - e	138
1502	SEK	house	wɨʔe	w ɨ ʔ e	w ɨ ʔ e	138
1503	SIO	house	wɨʔe	w ɨ ʔ e	w ɨ ʔ e	138
1504	TAN	house	wiʔi	w i ʔ i	w i ʔ i	138
1505	TUK	house	wiʔi	w i ʔ i	w i ʔ i	138
1506	TUY	house	wii	w i i	w i - i	138
1507	WAN	house	wɨʔɨ	w ɨ ʔ ɨ	w ɨ ʔ ɨ	138
1508	*PT	house	*wɨʔe	w ɨ ʔ e	w ɨ ʔ e ( - - )	138
#
501	BAS	hummingbird	~bibi	m ĩ m ĩ	m ĩ m ĩ	45
502	DES	hummingbird	~bibi	m ĩ m ĩ	m ĩ m ĩ	45
503	KAR	hummingbird	~bibi	m ĩ m ĩ	m ĩ m !ĩ	45
504	KOR	hummingbird	mimi	m i m i	m i m i	45
505	KUB	hummingbird	~bibi	m ĩ m ĩ	m ĩ m ĩ	45
506	KUE	hummingbird	mimi	m i m i	m i m i	45
507	MAI	hummingbird	mimi	m i m i	m i m i	45
508	SEK	hummingbird	mimi	m i m i	m i m i	45
509	SIO	hummingbird	mimi	m i m i	m i m i	45
510	TUK	hummingbird	~bibi	m ĩ m ĩ	m ĩ m !ĩ	45
511	WAN	hummingbird	~wiʔbi	w̃ ĩ ʔm ĩ	w̃ ĩ ʔm !ĩ	45
512	*PT	hummingbird	*mimi	m i m i	m i m i	45
#
711	BAS	inga (fruit sp.)	~bede	m ẽ n ẽ	m ẽ n ẽ	64
712	DES	inga (fruit sp.)	~behe	m ẽ h ẽ	m ẽ h ẽ	64
713	KAR	inga (fruit sp.)	~bede	m ẽ n ẽ	m ẽ n ẽ	64
714	KOR	inga (fruit sp.)	pene	p e n e	p e n e	64
715	KUB	inga (fruit sp.)	~bede	m ẽ n ẽ	m ẽ n ẽ	64
716	KUE	inga (fruit sp.)	meʔne	m e ʔn e	m e ʔn e	64
717	MAI	inga (fruit sp.)	mene	m e n e	m e n e	64
718	SEK	inga (fruit sp.)	pedẽ	p e n ẽ	p e n !ẽ	64
719	SIO	inga (fruit sp.)	pʔene	pʔ e n e	pʔ e n e	64
720	TUK	inga (fruit sp.)	~bede	m ẽ n ẽ	m ẽ n ẽ	64
721	WAN	inga (fruit sp.)	~bede	m ẽ n ẽ	m ẽ n ẽ	64
722	*PT	inga (fruit sp.)	*pʔene	pʔ e n e	pʔ e n e	64
#
1331	BAS	insect sp.	usi	u s i	u s !i	122
1332	KOR	insect sp.	sũsi	s ũ s i	s ũ s !i	122
1333	KUB	insect sp.	huhi	h u h i	h u h i	122
1334	KUE	insect sp.	tosi	t o s i	t o s i	122
1335	SIO	insect sp.	susi	s u s i	s u s i	122
1336	WAN	insect sp.	jĩ	j ĩ	j ĩ - *-*	122
1337	YUP	insect sp.	tsutsiga	ts u ts i g a	ts u ts i g a	122
1338	*PT	insect sp.	*tjusi	tj u s i	tj u s i ( - - )	122
#
145	BAS	jaguar	jai	j a i	!j a i	14
146	DES	jaguar	jee	j e e	j e e	14
147	KAR	jaguar	jai	j a i	!j a i	14
148	KOR	jaguar	jai	j a i	j a i	14
149	KUB	jaguar	jawi	j a w i	j a w i	14
150	KUE	jaguar	hijai	h i j a i	!h i j a i	14
151	MAI	jaguar	jai	j a i	j a i	14
152	SEK	jaguar	jai	j a i	j a i	14
153	SIO	jaguar	jai	j a i	j a i	14
154	TAN	jaguar	jaia	j a i a	!j a i a	14
155	TUK	jaguar	jai	j a i	!j a i	14
156	WAN	jaguar	jai	j a i	!j a i	14
157	*PT	jaguar	*jai	j a i	( - - ) j a - i ( - )	14
#
1483	KOR	jenipapo	weʔe	w e ʔ e	w e ʔ e	136
#
227	BAS	kapok	jɨta	j ɨ t a	j ɨ t a	22
228	DES	kapok	juda	j u d a	j u d a	22
229	KAR	kapok	jita	j i t a	j i t a	22
231	KUB	kapok	jɨi	j ɨ i	j ɨ i	22
232	KUE	kapok	iʔotahe	i ʔ o t a h e	i ʔ o t a !h !e	22
233	SEK	kapok	jɨi	j ɨ i	j ɨ i	22
234	SIO	kapok	jɨi	j ɨ i	j ɨ i	22
235	TAN	kapok	juʔta	j u ʔt a	j u - ʔt a	22
236	TUK	kapok	juta	j u t a	j u t a	22
237	WAN	kapok	juta	j u t a	j u t a	22
238	*PT	kapok	*jɨi	j ɨ i	j - ɨ - i - ( - )	22
#
1259	BAS	king-fisher	~jasa	ɲ ã s ã	ɲ ã s ã	116
1260	DES	king-fisher	~sada	s ã n ã	s ã n ã	116
1261	KAR	king-fisher	~jasa	ɲ ã s ã	ɲ ã s ã	116
1262	KOR	king-fisher	sãsʔa	s ã sʔ a	s ã ʔs a	116
1263	KUB	king-fisher	~haha	h ã h ã	h ã h ã	116
1264	SEK	king-fisher	sʔãʔsa	sʔ ã ʔ s a	sʔ ã ʔs a	116
1265	TAN	king-fisher	~haha	h ã h ã	h ã h ã	116
1266	TUK	king-fisher	~sada	s ã n ã	s ã n ã	116
1267	WAN	king-fisher	~sada	s ã n ã	s ã n ã	116
1268	YUP	king-fisher	~sasa	s ã s ã	s ã s ã	116
1269	*PT	king-fisher	*tjãsa	t j ã s a	tj ã s a	116
#
465	BAS	know	~baci	m ã c ĩ	m ã c ĩ	42
466	DES	know	~basi	m ã s ĩ	m ã s ĩ	42
467	KOR	know	masi	m a s i	m a s i	42
468	KUB	know	mahi	m a h i	m a h i	42
469	KUE	know	masi	m a s i	m a s i	42
470	SIO	know	maʔsi	m a ʔs i	m a ʔs i	42
471	TUK	know	~basi	m ã s ĩ	m ã s ĩ	42
472	TUY	know	~basi	m ã s ĩ	m ã s ĩ	42
473	WAN	know	~basi	m ã s ĩ	m ã s ĩ	42
474	*PT	know	*masi	m a s i	m a s i	42
#
1212	DES	lake	dita	d i t a	d i t a	112
1213	KUB	lake	hita	h i t a	h i t a	112
1214	KUE	lake	rita	r i t a	!r i t a	112
1215	MAI	lake	t∫ita	t∫ i t a	!t∫ i t a	112
1216	SIO	lake	sʔitada	sʔ i t a d a	sʔ i t a d !a	112
1217	TUK	lake	dita	d i t a	d i t a	112
1218	TUY	lake	-taro	t a r o	t a r !o	112
1219	YUP	lake	tita	t i t a	t i t a	112
1220	*PT	lake	*tjʔitta	tjʔ i tt a	tjʔ i tt a ( - - )	112
#
211	BAS	land	jeba	j e b a	j e b a	20
212	DES	land	jeba	j e b a	j e b a	20
213	KAR	land	jepa	j e p a	j e p a	20
214	KOR	land	jeha	j e h a	j e h a	20
215	KUB	land	jiba	j i b a	j i b a	20
216	MAI	land	jiha	j i h a	j i h a	20
217	SEK	land	jeha	j e h a	j e h a	20
218	SIO	land	jiha	j i h a	j i h a	20
219	TUK	land	jeʔpa	j e ʔp a	j e ʔp a	20
220	WAN	land	jaʔpa	j a ʔp a	j a ʔp a	20
221	*PT	land	*jepʔa	j e pʔ a	j e pʔ a	20
#
652	BAS	larva	beko	b e k o	b e k o	58
653	DES	larva	beka	b e k a	b e k !a	58
654	KAR	larva	beko	b e k o	b e k o	58
655	KOR	larva	pekho	p e kh o	p e !kh o	58
656	MAI	larva	beku	b e k u	b e k !u	58
657	SEK	larva	peko	p e k o	p e k o	58
658	SIO	larva	pʔeko	pʔ e k o	pʔ e k o	58
659	TUK	larva	beko	b e k o	b e k o	58
660	*PT	larva	*pʔekko	pʔ e k k o	pʔ e kk o	58
#
239	BAS	leg	~jika	ɲ ĩ k ã	ɲ ĩ k !ã	23
240	DES	leg	~jiga	ɲ ĩ g ã	ɲ ĩ g !ã	23
241	KAR	leg	~jika	ɲ ĩ k ã	ɲ ĩ k !ã	23
242	KOR	leg	jũka	j ũ k a	j ũ k a	23
243	KUB	leg	~jɨa	ɲ ɨ̃ ã	ɲ ɨ̃ - !ã	23
244	SEK	leg	dɨ̃ka	d ɨ̃ k a	d ɨ̃ k a	23
245	TAN	leg	~jika	ɲ ĩ k ã	ɲ ĩ k !ã	23
246	TUK	leg	~jeka	ɲ ẽ k ã	ɲ ẽ k !ã	23
247	TUY	leg	~jika	ɲ ĩ k ã	ɲ ĩ k !ã	23
248	WAN	leg	~jɨt∫ɨ	ɲ ɨ̃ t∫ ɨ̃	ɲ ɨ̃ t∫ !ɨ̃	23
249	*PT	leg	*jɨ̃ka	j ɨ̃ k a	j ɨ̃ k a	23
#
39	BAS	locative	do	d o	!d o	5
40	DES	locative	do	d o	d o	5
41	KAR	locative	do	d o	!d o	5
42	KUB	locative	~do	n õ	!n õ	5
43	MAI	locative	do	d o	d o	5
44	PIR	locative	do	d o	d o	5
45	SEK	locative	ro	r o	!r o	5
46	SIO	locative	ro	r o	r o	5
47	TUK	locative	do	d o	d o	5
48	WAN	locative	do	d o	d o	5
49	*PT	locative	*-tʔo	tʔ o	tʔ o	5
#
454	BAS	macaw	~baha	m ã h ã	m ã h ã	41
455	DES	macaw	~baha	m ã h ã	m ã h ã	41
456	KAR	macaw	~baa	m a a	m a - a	41
457	KOR	macaw	maa	m a a	m a - a	41
458	KUB	macaw	~ma	m ã	m ã - *-*	41
459	MAI	macaw	ma	m a	m a - *-*	41
460	SEK	macaw	toa+ma	t o a m a	t o a m a - *-*	41
461	SIO	macaw	ma	m a	m a - *-*	41
462	TUK	macaw	~baha	m ã h ã	m ã h ã	41
463	WAN	macaw	~baha	m ã h ã	m ã h ã	41
464	*PT	macaw	*maha	m a h a	( - - - ) m a h a	41
#
92	BAS	man	~ɨbɨ	ɨ̃ m ɨ̃	ɨ̃ m ɨ̃	9
93	DES	man	~ɨbɨ	ɨ̃ m ɨ̃	ɨ̃ m ɨ̃	9
94	KAR	man	~bɨ	m ɨ̃	m ɨ̃	9
95	KOR	man	ɨmɨ	ɨ m ɨ	ɨ m ɨ	9
96	KUB	man	~ɨbɨ	ɨ̃ m ɨ̃	ɨ̃ m ɨ̃	9
97	MAI	man	ɨmɨ	ɨ m ɨ	ɨ m ɨ	9
98	SEK	man	ɨ̃mɨ̃	ɨ̃ m ɨ̃	ɨ̃ m ɨ̃	9
99	SIO	man	ɨmɨ	ɨ m ɨ	ɨ m ɨ	9
100	TAN	man	~ɨbɨ	ɨ̃ m ɨ̃	ɨ̃ m ɨ̃	9
101	TUK	man	~ɨbɨ	ɨ̃ m ɨ̃	ɨ̃ m ɨ̃	9
102	TUY	man	~ɨbɨ	ɨ̃ m ɨ̃	ɨ̃ m ɨ̃	9
103	WAN	man	~ɨbɨ	ɨ̃ m ɨ̃	ɨ̃ m ɨ̃	9
104	*PT	man	*ɨmɨ	ɨ m ɨ	ɨ m ɨ	9
#
403	BAS	manioc	kĩ	k ĩ ĩ	k ĩ ĩ	36
404	DES	manioc	kĩĩ	k ĩ ĩ	k ĩ ĩ	36
405	KAR	manioc	kii	k i i	k i i	36
406	KOR	manioc	khɨi	kh ɨ i	kh ɨ i	36
407	KUB	manioc	kɨi	k ɨ i	k ɨ i	36
408	KUE	manioc	kɨ	k ɨ	k ɨ -	36
409	MAI	manioc	kɨi	k ɨ i	k ɨ i	36
410	SIO	manioc	kɨi	k ɨ i	k ɨ i	36
411	TAN	manioc	ki	k i	k - i	36
412	TUK	manioc	kii	k i i	k i i	36
413	WAN	manioc	khɨɨ	kh ɨ ɨ	kh ɨ ɨ	36
414	*PT	manioc	*kɨi	k ɨ i	k ɨ i	36
#
1107	BAS	monkey	gake	g a k e	!g a k e	103
1108	DES	monkey	gaki	g a k i	!g a k i	103
1109	KAR	monkey	ake	a k e	a k e	103
1110	KOR	monkey	tãkhe	t ã kh e	!t ã kh e	103
1111	KUB	monkey	take	t a k e	!t a k e	103
1112	MAI	monkey	tãke	t ã k e	t ã k e	103
1113	SEK	monkey	tãke	t ã k e	t ã k e	103
1114	SIO	monkey	tãke	t ã k e	t ã k e	103
1115	TAN	monkey	take	t a k e	t a k e	103
1116	TUK	monkey	ake	a k e	a k e	103
1117	TUY	monkey	ake	a k e	a k e	103
1118	WAN	monkey	ka	k a	k a	103
1119	*PT	monkey	*takke	t a k k e	t a kk e	103
#
950	BAS	monkey sp.	icikamu	i c i k a m u	i c i k !a !m !u	88
951	KAR	monkey sp.	~sii	s i i	s i - i	88
952	KOR	monkey sp.	sisikoʔroro	s i s i k o ʔr o r o	s i s i k !o !ʔr !o !r o	88
953	KUB	monkey sp.	hihijo	h i h i j o	h i h i j !o	88
954	MAI	monkey sp.	t∫it∫i	t∫ i t∫ i	t∫ i t∫ !i	88
955	SIO	monkey sp.	sisi	s i s i	s i s i	88
956	WAN	monkey sp.	~bede+_~iʔsi	m ẽ n ẽ + _ ĩ ʔs ĩ	m !ẽ !n ẽ _ - ĩ ʔs !ĩ	88
957	*PT	monkey sp.	*sisi	i s i	( - - - - - ) s i s i ( - - - - - - )	88
#
540	BAS	mosquito	~bɨte	m ɨ̃ t ẽ	m ɨ̃ t ẽ	48
541	DES	mosquito	~bɨde	m ɨ̃ n ẽ	m ɨ̃ n ẽ	48
542	KAR	mosquito	~bɨte	m ɨ̃ t ẽ	m ɨ̃ t ẽ	48
543	KOR	mosquito	mɨthe	m ɨ th e	m ɨ th e	48
544	KUB	mosquito	~bɨte	m ɨ̃ t ẽ	m ɨ̃ t ẽ	48
