# EDICTOR
@modified: 2015-08-26 9:38
#
ID	TOKENS	COGID	CONCEPT	IPA	ALIGNMENT	DOCULECT
811	b o ʔt e a	73	aracu fish	boʔtea	b o ʔt e - a	WAN
812	pʔ o tʔ i k a	73	aracu fish	*pʔotʔika	pʔ o tʔ i k a	*PT
#
813	m ĩ h ĩ	74	swell	~bihi	m ĩ h ĩ	BAS
814	b i h i	74	swell	bihi	b i h i	DES
815	h u h u	74	swell	huhu	h u h u	MAI
816	h u h u	74	swell	huhu	h u h u	SIO
817	p ĩ p i	74	swell	pĩpi	p ĩ p i	TAN
818	b i p i	74	swell	bipi	b i p i	TUK
819	b i p i	74	swell	bipi	b i p i	TUY
820	w i p i	74	swell	wipi	w i p i	WAN
821	pʔ u p i	74	swell	*pʔupi	pʔ u p i	*PT
#
822	h a k ɨ	75	father	hakɨ	h a k ɨ	BAS
823	p a g ɨ	75	father	pagɨ	p a g ɨ	DES
824	p a k ɨ	75	father	pakɨ	p a k ɨ	KAR
825	h a kh ɨ	75	father	hakhɨ	h a kh ɨ	KOR
826	p a k ɨ	75	father	pakɨ	p a k ɨ	KUB
827	h a k ɨ	75	father	hakɨ	h a k ɨ	KUE
828	h a k ɨ	75	father	hakɨ	h a k ɨ	MAI
829	h a k ɨ	75	father	hakɨ	h a k ɨ	SEK
830	h a k ɨ	75	father	hakɨ	h a k ɨ	SIO
831	p a k i	75	father	paki	p a k i	TAN
832	p a k ɨ	75	father	pakɨ	p a k ɨ	TUK
833	p a k ɨ	75	father	pakɨ	p a k ɨ	TUY
834	ph ɨ k ɨ	75	father	phɨkɨ	ph ɨ k ɨ	WAN
835	p a k ɨ	75	father	*pa-kɨ	p a k ɨ	*PT
#
836	h a i	76	big	hai	h a - i	BAS
837	p a i	76	big	pai	p a - i	KAR
838	h a i	76	big	hai	h a - i	MAI
839	p a h i	76	big	pahi	p a h i	PIR
840	h a i	76	big	hai	h a - i	SEK
841	h a i	76	big	hai	h a - i	SIO
842	p a h i	76	big	pahi	p a h i	TUK
843	p a i	76	big	pai	p a - i	TUY
844	p a h i	76	big	*pahi	p a h i	*PT
#
845	h ã m õ	77	armadillo	~habo	h ã m õ	BAS
846	p ã m õ	77	armadillo	~pabo	p ã m õ	DES
847	p ã m õ	77	armadillo	~pabo	p ã m õ	KAR
848	h a m u	77	armadillo	hamu	h a m u	KOR
849	p ã m ũ	77	armadillo	~pabu	p ã m ũ	KUB
850	h a m u	77	armadillo	hamu	h a m u	KUE
851	p ã m õ	77	armadillo	~pabo	p ã m õ	PIR
852	h ã m o	77	armadillo	hãmo	h ã m o	SEK
853	h ã m u	77	armadillo	hãmu	h ã m u	SIO
854	p ã m ũ	77	armadillo	~pabu	p ã m ũ	TAN
855	p ã m õ	77	armadillo	~pabo	p ã m õ	TUK
856	p ã m õ	77	armadillo	~pabo	p ã m õ	WAN
857	p ã m u	77	armadillo	*pãmu	p ã m u	*PT
#
858	h a j a	78	float	haja	h a j a	BAS
859	p á j a	78	float	pája	p á j a	DES
860	p a s a	78	float	pasa	p a s a	KAR
861	p a ʔs a	78	float	paʔsa	p a ʔs a	TUK
862	p a s a	78	float	pasa	p a s a	TUY
863	p a ʔs a	78	float	paʔsa	p a ʔs a	WAN
864	p a ʔj a	78	float	*paʔja	p a ʔj a	*PT
#
865	h e a	79	fire	hea	h e - a	BAS
866	p e a	79	fire	pea	p e - a	DES
867	p e e	79	fire	pee	p e - e	KAR
868	h ẽ kh a	79	fire	hẽkha	h ẽ kh a	KOR
869	p e k a	79	fire	peka	p e k a	KUB
870	h e ki a	79	fire	hekia	h e ki a	KUE
871	h e k a	79	fire	heka	h e k a	MAI
872	h e k a	79	fire	heka	h e k a	SEK
873	h ẽ k a	79	fire	hẽka	h ẽ k a	SIO
874	p e k a	79	fire	peka	p e k a	TAN
875	p e k a	79	fire	peka	p e k a	TUK
876	p e k a	79	fire	peka	p e k a	TUY
877	ph i t∫ a	79	fire	phit∫a	ph i t∫ a	WAN
878	p e k a	79	fire	*peka	p e k a	*PT
#
879	h e d i	80	end	hedi	h e d i -	BAS
880	p e ʔd e a	80	end	peʔdea	p e ʔd e a	DES
881	p e t i	80	end	peti	p e t i -	KUE
882	p e ʔt i	80	end	peʔti	p e ʔt i -	TUK
883	p i ʔt i	80	end	piʔti	p i ʔt i -	WAN
884	p e tʔ i	80	end	*petʔi	p e tʔ i -	*PT
#
885	h e t a	81	tocandira ant	heta	h e - t a	BAS
886	p e d a	81	tocandira ant	peda	p e - d a	DES
887	p e t a	81	tocandira ant	peta	p e - t a	KAR
888	p i a d a	81	tocandira ant	piada	p i a d a	KUB
889	h a t a	81	tocandira ant	hata	h a - t a	KUE
890	p a t a	81	tocandira ant	patajah	p a - t a	TAN
891	p e t a	81	tocandira ant	peta	p e - t a	TUK
892	ph i t a	81	tocandira ant	phita	ph i - t a	WAN
893	p i a t a	81	tocandira ant	*piata	p i a t a	*PT
#
894	h ĩ k õ	82	palm-weevil	~hiko	h ĩ k õ	BAS
895	p ĩ ŋ ũ	82	palm-weevil	~pigu	p ĩ ŋ ũ	DES
896	h ĩ ʔkh o	82	palm-weevil	hĩʔkho	h ĩ ʔkh o	KOR
897	p ĩ k õ	82	palm-weevil	~piko	p ĩ k õ	KUB
898	h ɨ̃ k o	82	palm-weevil	hɨ̃ko	h ɨ̃ k o	MAI
899	h ĩ k o	82	palm-weevil	hĩko	h ĩ k o	SEK
900	h ĩ k o	82	palm-weevil	hĩko	h ĩ k o	SIO
901	p ĩ k õ	82	palm-weevil	~piko	p ĩ k õ	TAN
902	p ĩ k õ	82	palm-weevil	~piko	p ĩ k õ	TUK
903	_ ph i t∫ o	82	palm-weevil	~_phit∫o	ph i t∫ o	WAN
904	p ĩ k o	82	palm-weevil	*pĩko	p ĩ k o	*PT
#
905	h ɨ̃ th ɨ	83	handpalm	hɨ̃thɨ	h ɨ̃ th ɨ	KOR
906	p ɨ d ɨ	83	handpalm	pɨdɨ	p ɨ d ɨ	KUB
907	h ɨ̃ t ɨ	83	handpalm	hɨ̃tɨ	h ɨ̃ t ɨ	MAI
908	h ɨ̃ t ɨ	83	handpalm	hɨ̃tɨ	h ɨ̃ t ɨ	SEK
909	ɨ̃ t ɨ	83	handpalm	ɨ̃tɨ	- ɨ̃ t ɨ	SIO
910	p i t a	83	handpalm	pita	p i t a	TAN
911	p ɨ t ɨ	83	handpalm	*pɨtɨ	p ɨ t ɨ	*PT
#
912	h o t a	84	thorn	hota	h o t a	BAS
913	p o d a	84	thorn	poda	p o d a	DES
914	p o t a	84	thorn	pota	p o t a	KAR
915	ɸ o t a	84	thorn	ɸota	ɸ o t a	TAN
916	p o t a	84	thorn	pota	p o t a	TUK
917	ph o t a	84	thorn	phota	ph o t a	WAN
918	p o t a	84	thorn	*pota	p o t a	*PT
#
919	h u t i	85	blow	huti	h u ( t i )	BAS
920	p u d i	85	blow	pudi	p u ( d i )	DES
921	p u t i	85	blow	puti	p u ( t i )	KAR
922	h u + i	85	blow	hu+i	h u ( i - )	KOR
923	p u	85	blow	pu	p u ( - - )	KUB
924	h ú + i	85	blow	hú+i	h ú ( i - )	MAI
925	h u	85	blow	hu	h u ( - - )	SEK
926	h u + i	85	blow	hu+i	h u ( i - )	SIO
927	p u t i	85	blow	puti	p u ( t i )	TUK
928	p u t i	85	blow	puti	p u ( t i )	WAN
929	p u r i	85	blow	puri	p u ( r i )	YUP
930	p u	85	blow	*pu-	p u ( - - )	*PT
#
931	c ẽ m ẽ	86	paca	~cebe	c ẽ m ẽ	BAS
932	s ẽ m ẽ	86	paca	~sebe	s ẽ m ẽ	DES
933	h ẽ m ẽ	86	paca	~hebe	h ẽ m ẽ	KAR
934	s e m e	86	paca	seme	s e m e	KOR
935	h ẽ m ẽ	86	paca	~hebe	h ẽ m ẽ	KUB
936	s e m e	86	paca	seme	s e m e	MAI
937	s e m e	86	paca	seme	s e m e	SEK
938	s e m e	86	paca	seme	s e m e	SIO
939	h ẽ m ẽ	86	paca	~hebe	h ẽ m ẽ	TAN
940	s ẽ m ẽ	86	paca	~sebe	s ẽ m ẽ	TUK
941	s ã m ã	86	paca	~saba	s ã m ã	WAN
942	e m e	86	paca	*seme	s e m e	*PT
#
943	c ĩ ŋ ẽ	87	rub	~cige	- - - - c ĩ ŋ ẽ	BAS
944	h ĩ k ẽ	87	rub	~hike	- - - - h ĩ k ẽ	KAR
945	h ĩ h ũ	87	rub	hĩhũ	- - - - h ĩ h ũ	KUB
946	s ã ʔk ẽ	87	rub	~saʔke	- - - - s ã ʔk ẽ	TUK
947	t u u _ s ã k ẽ	87	rub	tuu_~sake	t u u _ s ã k ẽ	TUY
948	th u _ s a ʔk a	87	rub	thu_saʔka	th u - _ s a ʔk a	WAN
949	ĩ kʔ e	87	rub	*sĩkʔe	- - - - s ĩ kʔ e	*PT
#
950	i c i k a m u	88	monkey sp.	icikamu	( - - - - - ) - i c i ( k a m u - - )	BAS
951	s i i	88	monkey sp.	~sii	( - - - - - ) s i - i ( - - - - - - )	KAR
952	s i s i k o ʔr o r o	88	monkey sp.	sisikoʔroro	( - - - - - ) s i s i ( k o ʔr o r o )	KOR
953	h i h i j o	88	monkey sp.	hihijo	( - - - - - ) h i h i ( j o - - - - )	KUB
954	t∫ i t∫ i	88	monkey sp.	t∫it∫i	( - - - - - ) t∫ i t∫ i ( - - - - - - )	MAI
955	s i s i	88	monkey sp.	sisi	( - - - - - ) s i s i ( - - - - - - )	SIO
956	m ẽ n ẽ + _ ĩ ʔs ĩ	88	monkey sp.	~bede+_~iʔsi	( m ẽ n ẽ _ ) - ĩ ʔs ĩ ( - - - - - - )	WAN
957	i s i	88	monkey sp.	*sisi	( - - - - - ) s i s i ( - - - - - - )	*PT
#
958	c e c o	89	to smoke meat	ceco	c e c o - -	BAS
959	s i j u	89	to smoke meat	siju	s i j u - -	DES
960	s i s o	89	to smoke meat	siso	s i s o - -	KAR
961	s ɨ j o	89	to smoke meat	sɨjo	s ɨ j o - -	KOR
962	h ɨ j o w a	89	to smoke meat	hɨjowa	h ɨ j o w a	KUB
963	ã s ɨ	89	to smoke meat	ãsɨ	- ã s ɨ - -	KUE
964	s ɨ j o	89	to smoke meat	sɨjo	s ɨ j o - -	MAI
965	s ɨ j o	89	to smoke meat	sɨjo	s ɨ j o - -	SEK
966	s ẽ j o	89	to smoke meat	sẽjo	s ẽ j o - -	SIO
967	s ɨ ʔs o	89	to smoke meat	sɨʔso	s ɨ ʔs o - -	TUK
968	s ɨ s o	89	to smoke meat	sɨso	s ɨ s o - -	WAN
969	s i j u	89	to smoke meat	siju	s i j u - -	YUP
970	ɨ ʔj o	89	to smoke meat	*sɨʔjo	s ɨ ʔj o - -	*PT
#
971	s ũ ŋ ũ	90	back	~sugu	s ũ ŋ ũ	DES
972	h õ k ɨ̃	90	back	~hokɨ	h õ k ɨ̃	KAR
973	s õ kh ɨ	90	back	sõkhɨ	s õ kh ɨ	KOR
974	s ũ k ũ	90	back	~suku	s ũ k ũ	TUK
975	s u k u	90	back	suku	s u k u	TUY
976	s ũ k ũ	90	back	~suku	s ũ k ũ	WAN
977	s õ k ɨ	90	back	*sõkɨ	s õ k ɨ	*PT
#
978	c o t ɨ	91	pot	cotɨ	c o t ɨ	BAS
979	s o d o	91	pot	sodo	s o d o	DES
980	h o t ɨ	91	pot	hotɨ	h o t ɨ	KAR
981	th o th o	91	pot	thotho	th o th o	KOR
982	h o d o	91	pot	hodo	h o d o	KUB
983	t o t o	91	pot	toto	t o t o	MAI
984	s o t o	91	pot	soto	s o t o	SEK
985	s o t o	91	pot	soto	s o t o	SIO
986	h o t o	91	pot	hoto	h o t o	TAN
987	s ɨ t ɨ	91	pot	sɨtɨ	s ɨ t ɨ	TUK
988	s o t ɨ	91	pot	sotɨ	s o t ɨ	TUY
989	s i t u	91	pot	situ	s i t u	WAN
990	s o t	91	pot	*sot-	s o t -	*PT
#
991	c ũ ã	92	red	~cua	c ũ - ã	BAS
992	h õ a	92	red	hõa	h õ - a	KAR
993	h ũ ã	92	red	~hua	h ũ - ã	KUB
994	h ũ ã	92	red	~hua	h ũ - ã	TAN
995	s õ ʔ ã	92	red	~soʔa	s õ ʔ ã	TUK
996	s õ ã	92	red	~soa	s õ - ã	TUY
997	s õ ʔ ã	92	red	~soʔa	s õ ʔ ã	WAN
998	õ ʔ a	92	red	*sõʔa	s õ ʔ a	*PT
#
999	n ũ ŋ ũ	93	root	~dugu	n ũ ŋ ũ	DES
1000	n ɨ̃ ʔk õ	93	root	~dɨʔko	n ɨ̃ ʔk õ	KAR
1001	n ɨ̃ õ	93	root	~dɨo	n ɨ̃ - õ	KUB
1002	r̃ ĩ k õ	93	root	~riko	r̃ ĩ k õ	TAN
1003	n ɨ̃ ʔk õ	93	root	~dɨʔko	n ɨ̃ ʔk õ	TUK
1004	n ɨ̃ k õ	93	root	~dɨko	n ɨ̃ k õ	TUY
1005	n ɨ̃ ʔk õ	93	root	~dɨʔko	n ɨ̃ ʔk õ	WAN
1006	tʔ ɨ̃ k ʔ o	93	root	*tʔɨ̃kʔo	tʔ ɨ̃ kʔ o	*PT
#
1007	r̃ ɨ̃ k ɨ̃	94	heavy	~rɨkɨ	r̃ ɨ̃ k ɨ̃	BAS
1008	n ɨ̃ k ɨ̃	94	heavy	~nɨkɨ	n ɨ̃ k ɨ̃	DES
1009	n ɨ̃ k ɨ̃	94	heavy	~dɨkɨ	n ɨ̃ k ɨ̃	KAR
1010	r ɨ kh ɨ	94	heavy	rɨkhɨ	r ɨ kh ɨ	KOR
1011	d ɨ k ɨ	94	heavy	dɨkɨ	d ɨ k ɨ	KUB
1012	d ɨ k ɨ	94	heavy	dɨkɨ	d ɨ k ɨ	MAI
1013	d ɨ k ɨ	94	heavy	dɨkɨ	d ɨ k ɨ	SEK
1014	d ɨ k ɨ	94	heavy	dɨkɨ	d ɨ k ɨ	SIO
1015	r̃ ĩ k ĩ	94	heavy	~riki	r̃ ĩ k ĩ	TAN
1016	n ɨ̃ k ɨ̃	94	heavy	~dɨkɨ	n ɨ̃ k ɨ̃	TUK
1017	n ɨ̃ k ɨ̃	94	heavy	~dɨkɨ	n ɨ̃ k ɨ̃	TUY
1018	n ɨ̃ k ɨ̃	94	heavy	~dɨkɨ	n ɨ̃ k ɨ̃	WAN
1019	tʔ ɨ k k ɨ	94	heavy	*tʔɨkkɨ	tʔ ɨ kk ɨ	*PT
#
1020	n ɨ̃ m õ	95	wife	~dɨbo	n ɨ̃ m õ	KAR
1021	r ɨ h o	95	wife	rɨho	r ɨ h o	KOR
1022	n ɨ h o	95	wife	nɨho	n ɨ h o	MAI
1023	d ɨ h o	95	wife	dɨho	d ɨ h o	SEK
1024	d ɨ̃ h o	95	wife	dɨ̃ho	d ɨ̃ h o	SIO
1025	r̃ ũ m ũ	95	wife	~rubu	r̃ ũ m ũ	TAN
1026	n ɨ̃ m õ	95	wife	~dɨbo	n ɨ̃ m õ	TUK
1027	n ɨ̃ m õ	95	wife	~dɨbo	n ɨ̃ m õ	TUY
1028	n ã m õ	95	wife	~dabo	n ã m õ	WAN
1029	tʔ ɨ̃ p o	95	wife	*tʔɨ̃po	tʔ ɨ̃ p o	*PT
#
1030	r u t e	96	cut	rute	r u t e	BAS
1031	r u ʔth e	96	cut	ruʔthe	r u ʔth e	KOR
1032	j ɨ i	145	cut	jɨi	j ɨ - i	MAI
1033	t ɨ̃ t e	96	cut	tɨ̃te	t ɨ̃ t e	SIO
1034	d ɨ t e	96	cut	dɨte	d ɨ t e	TUK
1035	d ɨ t e	96	cut	dɨte	d ɨ t e	WAN
1036	tʔ ɨ t t e	96	cut	*tʔɨtte	tʔ ɨ tt e	*PT
#
1037	r o e	97	traira fish	roe	r o - e	BAS
1038	d o e	97	traira fish	doe	d o - e	DES
1039	r o s e	97	traira fish	rose	r o s e	KAR
1040	r o j e	97	traira fish	roje	r o j e	KOR
1041	d o j e	97	traira fish	doje	d o j e	KUB
1042	d o j e	97	traira fish	doje	d o j e	SEK
1043	r o j e	97	traira fish	roje	r o j e	TAN
1044	d o e	97	traira fish	doe	d o - e	TUK
1045	tʔ o j e	97	traira fish	*tʔoje	tʔ o j e	*PT
#
1046	r̃ õ m ĩ õ	98	woman	~robio	r̃ õ m ĩ ( - õ )	BAS
1047	n õ m ẽ õ	98	woman	~dobeo	n õ m ẽ ( - õ )	DES
1048	r̃ õ m ĩ õ	98	woman	~robio	r̃ õ m ĩ ( - õ )	KAR
1049	r o m i o	98	woman	romio	r o m i ( - o )	KOR
1050	n õ m ĩ	98	woman	~dobi	n õ m ĩ ( - - )	KUB
1051	n o m i o	98	woman	nomio	n o m i ( - o )	MAI
1052	d õ m i o	98	woman	dõmio	d õ m i ( - o )	SEK
1053	d o m i	98	woman	domi	d o m i ( - - )	SIO
1054	r̃ õ m õ	98	woman	~robo	r̃ õ m õ ( - - )	TAN
1055	n ũ m ĩ õ	98	woman	~dubio	n ũ m ĩ ( - õ )	TUK
1056	n ũ m ĩ õ	98	woman	~dubio	n ũ m ĩ ( - õ )	TUY
1057	n ũ m ĩ n õ	98	woman	~dubido	n ũ m ĩ ( n õ )	WAN
1058	tʔ õ m i	98	woman	*tʔõmi-	tʔ õ m i ( - - )	*PT
#
1059	c i o r o	99	dove	cioro	c i ( - o r o )	BAS
1060	s i ʔw i	99	dove	siʔwi	s i ( ʔw i - - )	KOR
1061	h u d e	99	dove	hude	h u ( d e - - )	KUB
1062	s ɨ n i	99	dove	sɨni	s ɨ ( n i - - )	MAI
1063	s ɨ r a	99	dove	sɨra	s ɨ ( r a - - )	SEK
1064	t∫ i ʔw i	99	dove	t∫iʔwi	t∫ i ( ʔw i - - )	SIO
1065	s i r i	99	dove	siri	s i ( r i - - )	TUK
1066	s i r i p i	99	dove	siripi	s i ( r i p i )	WAN
1067	t∫ ɨ	99	dove	*t∫ɨ-	t∫ ɨ ( - - - - )	*PT
#
1068	c ã a	100	gather	cãa	c ã - a	BAS
1069	h e e	100	gather	hee	h e - e	KAR
1070	s i a	100	gather	sia	s i - a	KOR
1071	h e w a	100	gather	hewa	h e w a	KUB
1072	t∫ i a	100	gather	t∫ia	t∫ i - a	MAI
1073	s i a	100	gather	sia	s i - a	SEK
1074	t∫ i a	100	gather	t∫ia	t∫ i - a	SIO
1075	s u a	100	gather	sua	s u - a	TUK
1076	s a a	100	gather	saa	s a - a	WAN
1077	t ∫ ɨ a	100	gather	*t∫ɨ-a	t∫ ɨ - a	*PT
#
1078	c õ m ɨ̃	101	navel	~cobɨ	c õ m ɨ̃ ( - - )	BAS
1079	s ũ m ũ	101	navel	~subu	s ũ m ũ ( - - )	DES
1080	h õ m ɨ̃	101	navel	~hobɨ	h õ m ɨ̃ ( - - )	KAR
1081	s ũ h ũ	101	navel	sũhũ	s ũ h ũ ( - - )	KOR
1082	h õ m ɨ̃	101	navel	~hobɨ	h õ m ɨ̃ ( - - )	KUB
1083	t o u	101	navel	tou	t o - u ( - - )	KUE
1084	s õ h õ	101	navel	sõhõ	s õ h õ ( - - )	MAI
1085	s õ h õ	101	navel	sõhõ	s õ h õ ( - - )	SEK
1086	t∫ õ h õ	101	navel	t∫õhõ	t∫ õ h õ ( - - )	SIO
1087	h ũ m ũ	101	navel	~hubu	h ũ m ũ ( - - )	TAN
1088	s ũ m ũ	101	navel	~subu	s ũ m ũ ( - - )	TUK
1089	s ũ m ũ ã	101	navel	~subua	s ũ m ũ ( - ã )	TUY
1090	s ɨ̃ m ɨ̃ k ã	101	navel	~sɨbɨka	s ɨ̃ m ɨ̃ ( k ã )	WAN
1091	t∫ ũ m ũ	101	navel	~t∫ubu	t∫ ũ m ũ ( - - )	YUP
1092	tʃ õ pʔ ɨ	101	navel	*t∫õpʔɨ	t∫ õ pʔ ɨ ( - - )	*PT
#
1093	t a a	102	grass	taa	t a - a	BAS
1094	t a a	102	grass	taa	t a - a	DES
1095	t a a	102	grass	taa	t a - a	KAR
1096	th a j a	102	grass	thaja	th a j a	KOR
1097	d á	102	grass	dá	d á - -	KUB
1098	t a j a	102	grass	taja	t a j a	KUE
1099	t a j a	102	grass	taja	t a j a	MAI
1100	t a j a	102	grass	taja	t a j a	SEK
1101	t a j a	102	grass	taja	t a j a	SIO
1102	t a j a	102	grass	taja	t a j a	TAN
1103	t a a	102	grass	taa	t a - a	TUK
1104	t a a	102	grass	taa	t a - a	TUY
1105	th a a	102	grass	thaa	th a - a	WAN
1106	t a j a	102	grass	*taja	t a j a	*PT
#
1107	g a k e	103	monkey	gake	g a k e	BAS
1108	g a k i	103	monkey	gaki	g a k i	DES
1109	a k e	103	monkey	ake	- a k e	KAR
1110	t ã kh e	103	monkey	tãkhe	t ã kh e	KOR
1111	t a k e	103	monkey	take	t a k e	KUB
1112	t ã k e	103	monkey	tãke	t ã k e	MAI
1113	t ã k e	103	monkey	tãke	t ã k e	SEK
1114	t ã k e	103	monkey	tãke	t ã k e	SIO
1115	t a k e	103	monkey	take	t a k e	TAN
1116	a k e	103	monkey	ake	- a k e	TUK
1117	a k e	103	monkey	ake	- a k e	TUY
1118	k a	103	monkey	ka	- - k a	WAN
1119	t a k k e	103	monkey	*takke	t a kk e	*PT
#
1120	j a k i	104	chew	jaki	j a k i	KOR
1121	h ã h ɨ̃	104	chew	~hahɨ	h ã h ɨ̃	KUB
1122	n a k i	104	chew	naki	n a k i	MAI
1123	sʔ ã k i	104	chew	sʔãki	sʔ ã k i	SEK
1124	j a ʔg e	104	chew	jaʔge	j a ʔg e	TUK
1125	y a g e	104	chew	yage	y a g e	TUY
1126	j a ʔk a	104	chew	jaʔka	j a ʔk a	WAN
1127	tjʔ ã k ʔ ɨ	104	chew	*tjʔãkʔɨ	tjʔ ã kʔ ɨ	*PT
#
1128	n ã s ĩ	105	toucan	~dasi	n - ã s ĩ	DES
1129	d a s a	105	toucan	dasa	d - a s a	KAR
1130	j ã s e	105	toucan	jãse	j - ã s e	KOR
1131	h o e w e	105	toucan	hoewe	h o e w e	KUB
1132	r a s e	105	toucan	rase	r - a s e	KUE
1133	j ã s e	105	toucan	jãse	j - ã s e	SEK
1134	j ã s e	105	toucan	jãse	j - ã s e	SIO
1135	n ã h ẽ	105	toucan	~dahe	n - ã h ẽ	TAN
1136	r a c e	105	toucan	race	r - a c e	TUK
1137	d a s e	105	toucan	dase	d - a s e	WAN
1138	t jʔ a s e	105	toucan	*tjʔase(?)	tjʔ - a s e	*PT
#
1139	ɲ ẽ m ẽ	106	tongue	~jebe	ɲ ẽ m ẽ	BAS
1140	ɲ ẽ m ẽ	106	tongue	~jebe	ɲ ẽ m ẽ	KAR
1141	j e m e	106	tongue	jeme	j e m e	KOR
1142	h ẽ m ẽ	106	tongue	~hebe	h ẽ m ẽ	KUB
1143	j a m e	106	tongue	jame	j a m e	KUE
1144	n e m e	106	tongue	neme	n e m e	MAI
1145	sʔ e m e	106	tongue	sʔeme	sʔ e m e	SEK
1146	sʔ e m e	106	tongue	sʔeme	sʔ e m e	SIO
1147	ɲ ẽ m ẽ	106	tongue	~jebe	ɲ ẽ m ẽ	TUK
1148	ɲ ẽ m ẽ	106	tongue	~jebe	ɲ ẽ m ẽ	TUY
1149	ɲ ã m ã	106	tongue	~jaba	ɲ ã m ã	WAN
1150	t jʔ e m e	106	tongue	*tjʔeme	tjʔ e m e	*PT
#
1151	ɲ ĩ ĩ	107	black	~jii	ɲ ĩ - ĩ	BAS
1152	ɲ ĩ ĩ	107	black	~jii	ɲ ĩ - ĩ	DES
1153	ɲ ĩ ĩ	107	black	~jii	ɲ ĩ - ĩ	KAR
1154	j i	107	black	ji	j i - -	KOR
1155	ɲ ẽ m ĩ	107	black	~jebi	ɲ ẽ m ĩ	KUB
1156	n e a	107	black	nea	n e - a	MAI
1157	sʔ i	107	black	sʔi	sʔ i - -	SIO
1158	n ẽ ʔ ĩ	107	black	~deʔi	n ẽ ʔ ĩ	TAN
1159	ɲ ĩ ĩ	107	black	~jii	ɲ ĩ - ĩ	TUK
1160	ɲ ĩ ĩ	107	black	~jii	ɲ ĩ - ĩ	TUY
1161	ɲ ĩ ĩ	107	black	~jii	ɲ ĩ - ĩ	WAN
1162	tjʔ ĩ	107	black	*tjʔĩ	tjʔ ĩ - -	*PT
#
1163	r i a	108	egg	ria	r i ( - a )	BAS
1164	r i a	108	egg	ria	r i ( - a )	KAR
1165	j i a	108	egg	jia	j i ( - a )	KOR
1166	h ĩ d ɨ	108	egg	hĩdɨ	h ĩ ( d ɨ )	KUB
1167	j i a	108	egg	jia	j i ( - a )	MAI
1168	sʔ i a	108	egg	sʔia	sʔ i ( - a )	SEK
1169	sʔ i a	108	egg	sʔia	sʔ i ( a - )	SIO
1170	r i a	108	egg	ria	r i ( - a )	TAN
1171	d i e	108	egg	die	d i ( - e )	TUK
1172	d i y e	108	egg	diye	d i ( y e )	TUY
1173	d i e	108	egg	die	d i ( - e )	WAN
1174	t jʔ i a	108	egg	*tjʔia	tjʔ i ( - a )	*PT
#
1175	r i a	109	face	ria	r i - a ( - - - - )	BAS
1176	d i a	109	face	dia	d i - a ( - - - - )	DES
1177	r i a	109	face	ria	r i - a ( - - - - )	KAR
1178	j i a	109	face	jia	j i - a ( - - - - )	KOR
1179	h i w a	109	face	hiwa	h i w a ( - - - - )	KUB
1180	j i a	109	face	jia	j i - a ( - - - - )	MAI
1181	sʔ i a	109	face	sʔia	sʔ i - a ( - - - - )	SEK
1182	d i a	109	face	dia	d i - a ( - - - - )	TUK
1183	d i a _ p o a	109	face	dia_poa	d i - a ( _ p o a )	TUY
1184	t jʔ i a	109	face	*tjʔia	tjʔ i - a ( - - - - )	*PT
#
1185	r i a	110	river	ria	r i a	BAS
1186	d i a	110	river	dia	d i a	DES
1187	r i a	110	river	ria	r i a	KAR
1188	j i a	110	river	jia	j i a	KOR
1189	h i a	110	river	hia	h i a	KUB
1190	l a	110	river	la	l - a	KUE
1191	j i a	110	river	jia	j i a	MAI
1192	sʔ i a	110	river	sʔia	sʔ i a	SEK
1193	sʔ i a	110	river	sʔia	sʔ i a	SIO
1194	r i a	110	river	ria	r i a	TAN
1195	d i a	110	river	dia	d i a	TUK
1196	d i a	110	river	dia	d i a	TUY
1197	d i a	110	river	dia	d i a	WAN
1198	t jʔ i a	110	river	*tjʔia	tjʔ i a	*PT
#
1199	r i i	111	blood	rii	r i - i ( - - )	BAS
1200	d i i	111	blood	dii	d i - i ( - - )	DES
1201	r i i	111	blood	rii	r i - i ( - - )	KAR
1202	j i e	111	blood	jie	j i - e ( - - )	KOR
1203	h i w e	111	blood	hiwe	h i w e ( - - )	KUB
1204	l i e r i	111	blood	lieri	l i - e ( r i )	KUE
1205	sʔ i e	111	blood	sʔie	sʔ i - e ( - - )	SEK
1206	sʔ i e	111	blood	sʔie	sʔ i - e ( - - )	SIO
1207	r i b e	111	blood	ribe	r i b e ( - - )	TAN
1208	d i i	111	blood	dii	d i - i ( - - )	TUK
1209	d i i	111	blood	dii	d i - i ( - - )	TUY
1210	d i	111	blood	di	d i - - ( - - )	WAN
1211	t jʔ i e	111	blood	*tjʔie	tjʔ i - e ( - - )	*PT
#
1212	d i t a	112	lake	dita	d i t a ( - - )	DES
1213	h i t a	112	lake	hita	h i t a ( - - )	KUB
1214	r i t a	112	lake	rita	r i t a ( - - )	KUE
1215	t∫ i t a	112	lake	t∫ita	t∫ i t a ( - - )	MAI
1216	sʔ i t a d a	112	lake	sʔitada	sʔ i t a ( d a )	SIO
1217	d i t a	112	lake	dita	d i t a ( - - )	TUK
1218	t a r o	112	lake	-taro	- - t a ( r o )	TUY
1219	t i t a	112	lake	tita	t i t a ( - - )	YUP
1220	tjʔ i tt a	112	lake	*tjʔitta	tjʔ i tt a ( - - )	*PT
#
1221	r i h o	113	head	riho	r i h o	BAS
