# EDICTOR
@modified: 2015-08-26 9:38
#
ID	TOKENS	COGID	CONCEPT	IPA	ALIGNMENT	DOCULECT
243	ɲ ɨ̃ ã	23	leg	~jɨa	ɲ ɨ̃ - ã	KUB
244	d ɨ̃ k a	23	leg	dɨ̃ka	d ɨ̃ k a	SEK
245	ɲ ĩ k ã	23	leg	~jika	ɲ ĩ k ã	TAN
246	ɲ ẽ k ã	23	leg	~jeka	ɲ ẽ k ã	TUK
247	ɲ ĩ k ã	23	leg	~jika	ɲ ĩ k ã	TUY
248	ɲ ɨ̃ t∫ ɨ̃	23	leg	~jɨt∫ɨ	ɲ ɨ̃ t∫ ɨ̃	WAN
249	j ɨ̃ k a	23	leg	*jɨ̃ka	j ɨ̃ k a	*PT
#
250	j ɨ ɨ	24	I	jɨɨ	j ɨ - ɨ	BAS
251	j ɨ ʔ ɨ	24	I	jɨʔɨ	j ɨ ʔ ɨ	DES
252	j ɨ ɨ	24	I	jɨɨ	j ɨ - ɨ	KAR
253	j ɨ ʔ ɨ	24	I	jɨʔɨ	j ɨ ʔ ɨ	KOR
254	j ɨ	24	I	jɨ	j ɨ - -	KUB
255	j e h ɨ	24	I	jehɨ	j e h ɨ	KUE
256	j i	24	I	ji	j i - -	MAI
257	j ɨ ʔ ɨ	24	I	jɨʔɨ	j ɨ ʔ ɨ	SEK
258	j ɨ ɨ	24	I	jɨɨ	j ɨ - ɨ	SIO
259	j i ʔ i	24	I	jiʔi	j i ʔ i	TAN
260	j ɨ ʔ ɨ	24	I	jɨʔɨ	j ɨ ʔ ɨ	TUK
261	j ɨ ɨ	24	I	jɨɨ	j ɨ - ɨ	TUY
262	j ɨ ʔ ɨ	24	I	jɨʔɨ	j ɨ ʔ ɨ	WAN
263	j ɨ ʔ ɨ	24	I	*jɨʔɨ	j ɨ ʔ ɨ	*PT
#
264	ŋ ã m õ	25	ear	~gabo	ŋ ã m õ	BAS
265	ŋ ã m ĩ	25	ear	~gabi	ŋ ã m ĩ	DES
266	ã m õ	25	ear	~abo	- ã m õ	KAR
267	k ã h o	25	ear	kãho	k ã h o	KOR
268	k ã m ũ	25	ear	~kamu	k ã m ũ	KUB
269	kĩ ã ũ	25	ear	~kiau	kĩ ã - ũ	KUE
270	g ã h o	25	ear	gãho	g ã h o	MAI
271	k ã h o	25	ear	kãho	k ã h o	SEK
272	kʔ ã h o	25	ear	kʔãho	kʔ ã h o	SIO
273	ã m ũ	25	ear	~abu	- ã m ũ	TAN
274	õ ʔm ẽ	25	ear	~oʔbe	- õ ʔm ẽ	TUK
275	k ã m õ	25	ear	~kabo	k ã m õ	TUY
276	k ã ʔm õ	25	ear	~kaʔbo	k ã ʔm õ	WAN
277	kʔ ã p ʔ o	25	ear	*kʔãpʔo	kʔ ã pʔ o	*PT
#
278	g ɨ b o	26	foot	gɨbo	g ɨ b o	BAS
279	g u ʔb u	26	foot	guʔbu	g u ʔb u	DES
280	r ɨ p o	26	foot	rɨpo	r ɨ p o	KAR
281	k ũ ʔ ã	26	foot	~kuʔa	k ũ ʔ ã	KOR
282	k ɨ b o	26	foot	kɨbo	k ɨ b o	KUB
283	k o h u	26	foot	kohu	k o h u	KUE
284	ŋ ɨ̃ õ	26	foot	~gɨo	ŋ ɨ̃ - õ	MAI
285	k ɨ̃ õ	26	foot	~kɨo	k ɨ̃ - õ	SEK
286	kʔ ɨ̃ õ	26	foot	~kʔɨo	kʔ ɨ̃ - õ	SIO
287	ũ ʔp ũ	26	foot	~uʔpu	- ũ ʔp ũ	TAN
288	d ɨ ʔp o	26	foot	dɨʔpo	d ɨ ʔp o	TUK
289	d ɨ p o	26	foot	dɨpo	d ɨ p o	TUY
290	d a ʔp o	26	foot	daʔpo	d a ʔp o	WAN
291	kʔ ɨ p ʔ o	26	foot	*kʔɨpʔo	kʔ ɨ pʔ o	*PT
#
292	g ɨ d a	27	excrement	gɨda	g ɨ d a	BAS
293	g ɨ d a	27	excrement	gɨda	g ɨ d a	DES
294	g ɨ t a	27	excrement	gɨta	g ɨ t a	KAR
